shiftThreshold,lagBook,winningRate
0.1,1,0.15393272477178943
0.1,2,0.20020007502813555
0.1,3,0.22758534450418907
0.1,4,0.24487243621810906
0.1,5,0.25087543771885945
0.1,6,0.2580040020010005
0.1,7,0.2621310655327664
0.1,8,0.2702601300650325
0.1,9,0.2770135067533767
0.1,10,0.28301650825412705
0.1,11,0.2883941970985493
0.1,12,0.29552276138069034
0.1,13,0.3001500750375188
0.1,14,0.304152076038019
0.1,15,0.3060280140070035
0.1,16,0.3095297648824412
0.1,17,0.31003001500750377
0.1,18,0.31203101550775386
0.1,19,0.3149074537268634
0.1,20,0.31719824890556597
0.1,21,0.32057535959974987
0.1,22,0.3237023139462164
0.1,23,0.32645403377110693
0.1,24,0.32770481550969355
0.1,25,0.33045653533458413
0.1,26,0.33024768576432323
0.1,27,0.33391717753033906
0.1,28,0.3374624624624625
0.1,29,0.33637842572894505
0.1,30,0.3375046927793768
0.1,31,0.3412589162808159
0.1,32,0.34038293079714677
0.1,33,0.34413715429858593
0.1,34,0.34526342134901766
0.1,35,0.34651482918283066
0.1,36,0.3458891252659242
0.1,37,0.34626454761606806
0.1,38,0.35177074208484543
0.1,39,0.3543986985358528
0.1,40,0.35527468401952195
0.1,41,0.3559003879364285
0.1,42,0.35902890752096106
0.1,43,0.3615317231885872
0.1,44,0.36440996120635716
0.1,45,0.36491052433988236
0.1,46,0.3660367913903141
0.1,47,0.36766362157427107
0.1,48,0.3671630584407458
0.1,49,0.37079214115880366
0.1,50,0.370917281942185
0.1,51,0.37291953447628584
0.1,52,0.37266925290952324
0.1,53,0.37104242272556626
0.1,54,0.37016643724189713
0.1,55,0.3730446752596671
0.1,56,0.3735452383931923
0.1,57,0.3757977724940558
0.1,58,0.3774718397997497
0.1,59,0.3781449493052948
0.1,60,0.3788182273410115
0.1,61,0.37819228843264896
0.1,62,0.3799449173760641
0.1,63,0.3819479218828242
0.1,64,0.38182273410115175
0.1,65,0.38362338800550894
0.1,66,0.3845479589281242
