shiftThreshold,lagBook,pnl
0.4,29,-8053.730667679338
0.4,30,-9453.730667679338
0.4,31,-11853.730667679338
0.4,32,-13453.730667679338
0.4,33,-14253.730667679338
0.4,34,-14653.730667679338
0.4,35,-16453.730667679338
0.4,36,-18453.730667679338
0.4,37,-19053.730667679338
0.4,38,-20053.730667679338
0.4,39,-19253.730667679338
0.4,40,-19653.730667679338
0.4,41,-20853.730667679338
0.4,42,-21853.730667679338
0.4,43,-20853.730667679338
0.4,44,-19053.730667679338
0.4,45,-18053.730667679338
0.4,46,-18853.730667679338
0.4,47,-18853.730667679338
0.4,48,-19253.730667679338
0.4,49,-18453.730667679338
0.4,50,-18453.730667679338
0.4,51,-17053.730667679338
0.4,52,-15253.730667679338
0.4,53,-14053.730667679338
0.4,54,-13253.730667679338
0.4,55,-14053.730667679338
0.4,56,-13453.730667679338
0.4,57,-12453.730667679338
0.4,58,-12253.730667679338
0.4,59,-12453.730667679338
0.4,60,-13253.730667679338
0.4,61,-14253.730667679338
0.4,62,-14053.730667679338
0.4,63,-12853.730667679338
0.4,64,-11853.730667679338
0.4,65,-11653.730667679338
0.4,66,-9853.730667679338
0.4,67,-8453.730667679338
0.4,68,-4853.730667679338
0.4,69,-3853.730667679338
0.4,70,-5053.730667679338
0.4,71,-4453.730667679338
0.4,72,-4253.730667679338
0.4,73,-5653.730667679338
0.4,74,-6653.730667679338
0.4,75,-7053.730667679338
0.4,76,-5853.730667679338
0.4,77,-3453.730667679338
0.4,78,-2453.730667679338
0.4,79,-2653.730667679338
0.4,80,-2853.730667679338
0.4,81,-2653.730667679338
0.4,82,-2853.730667679338
0.4,83,-2653.730667679338
0.4,84,-1253.7306676793378
0.4,85,-653.7306676793378
0.4,86,-253.73066767933778
0.4,87,946.2693323206622
0.4,88,3346.269332320662
0.4,89,2946.269332320662
0.4,90,3946.269332320662
0.4,91,4346.269332320662
0.4,92,3946.269332320662
0.4,93,4946.269332320662
0.4,94,6346.269332320662
0.4,95,7146.269332320662
0.4,96,10746.269332320662
0.4,97,12146.269332320662
0.4,98,12746.269332320662
0.4,99,13546.269332320662
0.5,1,-3329.0758575756627
0.5,2,670.9241424243373
0.5,3,1470.9241424243373
0.5,4,3070.9241424243373
0.5,5,2270.9241424243373
0.5,6,3470.9241424243373
0.5,7,2670.9241424243373
0.5,8,2070.9241424243373
0.5,9,2070.9241424243373
0.5,10,3070.9241424243373
0.5,11,4270.924142424337
0.5,12,4870.924142424337
0.5,13,4470.924142424337
0.5,14,3070.9241424243373
0.5,15,70.92414242433733
0.5,16,-129.07585757566267
0.5,17,-1529.0758575756627
0.5,18,-3129.0758575756627
0.5,19,-2729.0758575756627
0.5,20,-2329.0758575756627
0.5,21,-3529.0758575756627
0.5,22,-3129.0758575756627
0.5,23,-3929.0758575756627
0.5,24,-3729.0758575756627
0.5,25,-5129.075857575663
0.5,26,-4929.075857575663
0.5,27,-6129.075857575663
0.5,28,-7529.075857575663
0.5,29,-9529.075857575663
0.5,30,-10929.075857575663
0.5,31,-11729.075857575663
0.5,32,-12529.075857575663
0.5,33,-12729.075857575663
0.5,34,-12929.075857575663
0.5,35,-13329.075857575663
0.5,36,-13529.075857575663
0.5,37,-13729.075857575663
0.5,38,-15329.075857575663
0.5,39,-13929.075857575663
0.5,40,-15329.075857575663
0.5,41,-14929.075857575663
0.5,42,-15929.075857575663
0.5,43,-15929.075857575663
0.5,44,-14729.075857575663
0.5,45,-13929.075857575663
0.5,46,-13729.075857575663
0.5,47,-13729.075857575663
0.5,48,-13729.075857575663
0.5,49,-14529.075857575663
0.5,50,-14329.075857575663
0.5,51,-13729.075857575663
0.5,52,-12529.075857575663
0.5,53,-11129.075857575663
0.5,54,-11129.075857575663
0.5,55,-11129.075857575663
0.5,56,-11329.075857575663
0.5,57,-10929.075857575663
0.5,58,-11529.075857575663
0.5,59,-11129.075857575663
0.5,60,-10929.075857575663
0.5,61,-11529.075857575663
0.5,62,-11529.075857575663
0.5,63,-11129.075857575663
0.5,64,-10529.075857575663
0.5,65,-9929.075857575663
0.5,66,-8529.075857575663
0.5,67,-7929.075857575663
0.5,68,-6529.075857575663
0.5,69,-6529.075857575663
0.5,70,-7529.075857575663
0.5,71,-8329.075857575663
0.5,72,-8529.075857575663
0.5,73,-8529.075857575663
0.5,74,-8729.075857575663
0.5,75,-8729.075857575663
0.5,76,-9129.075857575663
0.5,77,-8329.075857575663
0.5,78,-7329.075857575663
0.5,79,-7329.075857575663
0.5,80,-6729.075857575663
0.5,81,-6729.075857575663
0.5,82,-8129.075857575663
0.5,83,-7729.075857575663
0.5,84,-7329.075857575663
0.5,85,-6329.075857575663
0.5,86,-5929.075857575663
0.5,87,-5929.075857575663
0.5,88,-4529.075857575663
0.5,89,-4929.075857575663
0.5,90,-4329.075857575663
0.5,91,-3529.0758575756627
0.5,92,-3929.0758575756627
0.5,93,-4329.075857575663
0.5,94,-3329.0758575756627
0.5,95,-2729.0758575756627
0.5,96,-329.07585757566267
0.5,97,-129.07585757566267
0.5,98,1070.9241424243373
0.5,99,2270.9241424243373
0.6,1,-444.4668303734943
0.6,2,1755.5331696265057
0.6,3,1955.5331696265057
0.6,4,2355.5331696265057
0.6,5,2155.5331696265057
0.6,6,2955.5331696265057
0.6,7,2755.5331696265057
0.6,8,1555.5331696265057
0.6,9,1355.5331696265057
0.6,10,1955.5331696265057
0.6,11,2755.5331696265057
0.6,12,3955.5331696265057
0.6,13,4155.533169626506
0.6,14,3155.5331696265057
0.6,15,2355.5331696265057
0.6,16,1955.5331696265057
0.6,17,1155.5331696265057
0.6,18,555.5331696265057
0.6,19,355.5331696265057
0.6,20,155.5331696265057
0.6,21,-44.466830373494304
0.6,22,-244.4668303734943
0.6,23,-44.466830373494304
0.6,24,-244.4668303734943
0.6,25,-244.4668303734943
0.6,26,-244.4668303734943
0.6,27,-644.4668303734943
0.6,28,-1444.4668303734943
0.6,29,-1844.4668303734943
0.6,30,-2644.4668303734943
0.6,31,-3044.4668303734943
0.6,32,-3644.4668303734943
0.6,33,-4244.466830373494
0.6,34,-4644.466830373494
0.6,35,-3844.4668303734943
0.6,36,-3444.4668303734943
0.6,37,-3444.4668303734943
0.6,38,-3444.4668303734943
0.6,39,-3844.4668303734943
0.6,40,-4244.466830373494
0.6,41,-4244.466830373494
0.6,42,-4244.466830373494
0.6,43,-3844.4668303734943
0.6,44,-3444.4668303734943
0.6,45,-3644.4668303734943
0.6,46,-3644.4668303734943
0.6,47,-4044.4668303734943
0.6,48,-2644.4668303734943
0.6,49,-3444.4668303734943
0.6,50,-3244.4668303734943
0.6,51,-2644.4668303734943
0.6,52,-2644.4668303734943
0.6,53,-1844.4668303734943
0.6,54,-1244.4668303734943
0.6,55,-644.4668303734943
0.6,56,-1044.4668303734943
0.6,57,-1244.4668303734943
0.6,58,-1044.4668303734943
0.6,59,-844.4668303734943
0.6,60,-844.4668303734943
0.6,61,-844.4668303734943
0.6,62,-1244.4668303734943
0.6,63,-1244.4668303734943
0.6,64,-1244.4668303734943
0.6,65,-844.4668303734943
0.6,66,-444.4668303734943
0.6,67,-444.4668303734943
0.6,68,755.5331696265057
0.6,69,-44.466830373494304
0.6,70,-444.4668303734943
0.6,71,-244.4668303734943
0.6,72,-844.4668303734943
0.6,73,-1044.4668303734943
0.6,74,-844.4668303734943
0.6,75,-1044.4668303734943
0.6,76,-1644.4668303734943
0.6,77,-1444.4668303734943
0.6,78,-1044.4668303734943
0.6,79,-844.4668303734943
0.6,80,-644.4668303734943
0.6,81,-244.4668303734943
0.6,82,-44.466830373494304
0.6,83,-644.4668303734943
0.6,84,-644.4668303734943
0.6,85,-44.466830373494304
0.6,86,-644.4668303734943
0.6,87,-44.466830373494304
0.6,88,755.5331696265057
0.6,89,355.5331696265057
0.6,90,155.5331696265057
0.6,91,155.5331696265057
0.6,92,155.5331696265057
0.6,93,355.5331696265057
0.6,94,755.5331696265057
0.6,95,755.5331696265057
0.6,96,1555.5331696265057
0.6,97,1355.5331696265057
0.6,98,1955.5331696265057
0.6,99,2555.5331696265057
0.7,1,-859.6980985137634
0.7,2,740.3019014862366
0.7,3,940.3019014862366
0.7,4,740.3019014862366
0.7,5,1140.3019014862366
0.7,6,1540.3019014862366
0.7,7,1540.3019014862366
0.7,8,940.3019014862366
0.7,9,740.3019014862366
0.7,10,1340.3019014862366
0.7,11,1740.3019014862366
0.7,12,2140.3019014862366
0.7,13,2340.3019014862366
0.7,14,2140.3019014862366
0.7,15,1340.3019014862366
0.7,16,1140.3019014862366
0.7,17,740.3019014862366
0.7,18,540.3019014862366
0.7,19,140.3019014862366
0.7,20,140.3019014862366
0.7,21,340.3019014862366
0.7,22,-459.6980985137634
0.7,23,-459.6980985137634
0.7,24,-259.6980985137634
0.7,25,-259.6980985137634
0.7,26,-59.6980985137634
0.7,27,-259.6980985137634
0.7,28,-659.6980985137634
0.7,29,-659.6980985137634
0.7,30,-1259.6980985137634
0.7,31,-1259.6980985137634
0.7,32,-1659.6980985137634
0.7,33,-1659.6980985137634
0.7,34,-1859.6980985137634
0.7,35,-1659.6980985137634
0.7,36,-859.6980985137634
0.7,37,-1459.6980985137634
0.7,38,-1459.6980985137634
0.7,39,-1659.6980985137634
0.7,40,-1859.6980985137634
0.7,41,-1859.6980985137634
0.7,42,-1459.6980985137634
0.7,43,-1659.6980985137634
0.7,44,-1659.6980985137634
0.7,45,-2059.6980985137634
0.7,46,-1859.6980985137634
0.7,47,-2059.6980985137634
0.7,48,-1659.6980985137634
0.7,49,-2059.6980985137634
0.7,50,-1859.6980985137634
0.7,51,-1659.6980985137634
0.7,52,-1459.6980985137634
0.7,53,-1059.6980985137634
0.7,54,-659.6980985137634
0.7,55,-259.6980985137634
0.7,56,-859.6980985137634
0.7,57,-659.6980985137634
0.7,58,-859.6980985137634
0.7,59,-659.6980985137634
0.7,60,-459.6980985137634
0.7,61,-659.6980985137634
0.7,62,-659.6980985137634
0.7,63,-459.6980985137634
0.7,64,-259.6980985137634
0.7,65,-459.6980985137634
0.7,66,-59.6980985137634
0.7,67,-459.6980985137634
0.7,68,340.3019014862366
0.7,69,340.3019014862366
0.7,70,-59.6980985137634
0.7,71,-59.6980985137634
0.7,72,-59.6980985137634
0.7,73,-259.6980985137634
0.7,74,-59.6980985137634
0.7,75,140.3019014862366
0.7,76,140.3019014862366
0.7,77,340.3019014862366
0.7,78,340.3019014862366
0.7,79,540.3019014862366
0.7,80,540.3019014862366
0.7,81,540.3019014862366
0.7,82,740.3019014862366
0.7,83,340.3019014862366
0.7,84,140.3019014862366
0.7,85,340.3019014862366
0.7,86,540.3019014862366
0.7,87,1140.3019014862366
0.7,88,940.3019014862366
0.7,89,740.3019014862366
0.7,90,740.3019014862366
0.7,91,740.3019014862366
0.7,92,1140.3019014862366
0.7,93,1340.3019014862366
0.7,94,1540.3019014862366
0.7,95,1540.3019014862366
0.7,96,1740.3019014862366
0.7,97,1940.3019014862366
0.7,98,1940.3019014862366
0.7,99,2540.3019014862366
0.8,1,-227.31501007183397
0.8,2,-27.315010071833967
0.8,3,-27.315010071833967
0.8,4,-227.31501007183397
0.8,5,-27.315010071833967
0.8,6,-227.31501007183397
0.8,7,-427.31501007183397
0.8,8,-427.31501007183397
0.8,9,-427.31501007183397
0.8,10,-27.315010071833967
0.8,11,-227.31501007183397
0.8,12,-227.31501007183397
0.8,13,-427.31501007183397
0.8,14,-627.315010071834
0.8,15,-427.31501007183397
0.8,16,-427.31501007183397
0.8,17,-627.315010071834
0.8,18,-827.315010071834
0.8,19,-827.315010071834
0.8,20,-1027.315010071834
0.8,21,-1027.315010071834
0.8,22,-1227.315010071834
0.8,23,-1227.315010071834
0.8,24,-1227.315010071834
0.8,25,-1227.315010071834
0.8,26,-1227.315010071834
0.8,27,-1227.315010071834
0.8,28,-1227.315010071834
0.8,29,-1227.315010071834
0.8,30,-1427.315010071834
0.8,31,-1427.315010071834
0.8,32,-1427.315010071834
0.8,33,-1427.315010071834
0.8,34,-1427.315010071834
0.8,35,-1027.315010071834
0.8,36,-827.315010071834
0.8,37,-1227.315010071834
0.8,38,-1227.315010071834
0.8,39,-1427.315010071834
0.8,40,-1427.315010071834
0.8,41,-1227.315010071834
0.8,42,-1227.315010071834
0.8,43,-1227.315010071834
0.8,44,-1227.315010071834
0.8,45,-1227.315010071834
0.8,46,-1227.315010071834
0.8,47,-1427.315010071834
0.8,48,-1227.315010071834
0.8,49,-1027.315010071834
0.8,50,-1227.315010071834
0.8,51,-1227.315010071834
0.8,52,-1227.315010071834
0.8,53,-1027.315010071834
0.8,54,-827.315010071834
0.8,55,-627.315010071834
0.8,56,-627.315010071834
0.8,57,-427.31501007183397
0.8,58,-627.315010071834
0.8,59,-427.31501007183397
0.8,60,-427.31501007183397
0.8,61,-427.31501007183397
0.8,62,-427.31501007183397
0.8,63,-427.31501007183397
0.8,64,-227.31501007183397
0.8,65,-227.31501007183397
0.8,66,-27.315010071833967
0.8,67,-227.31501007183397
0.8,68,-27.315010071833967
0.8,69,-227.31501007183397
0.8,70,-427.31501007183397
0.8,71,-427.31501007183397
0.8,72,-427.31501007183397
0.8,73,-627.315010071834
0.8,74,-427.31501007183397
0.8,75,-427.31501007183397
0.8,76,-427.31501007183397
0.8,77,-427.31501007183397
0.8,78,-427.31501007183397
0.8,79,-427.31501007183397
0.8,80,-427.31501007183397
0.8,81,-627.315010071834
0.8,82,-627.315010071834
0.8,83,-1027.315010071834
0.8,84,-1027.315010071834
0.8,85,-827.315010071834
0.8,86,-827.315010071834
0.8,87,-627.315010071834
0.8,88,-827.315010071834
0.8,89,-827.315010071834
0.8,90,-1027.315010071834
0.8,91,-1027.315010071834
0.8,92,-1027.315010071834
0.8,93,-1027.315010071834
0.8,94,-827.315010071834
0.8,95,-627.315010071834
0.8,96,-627.315010071834
0.8,97,-627.315010071834
0.8,98,-627.315010071834
0.8,99,-427.31501007183397
