SeqNo,Date,Time,microSec,Seq,Pid,Dp,Dv,Bp1,Bp2,Bp3,Bp4,Bp5,Sp1,Sp2,Sp3,Sp4,Sp5,Bv1,Bv2,Bv3,Bv4,Bv5,Sv1,Sv2,Sv3,Sv4,Sv5,ptype,Tvolume,Status,MulticastGroup,MsgTime
55044789,2018/4/13,84500311,0,104,TXFD8,10968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,637,0,225.0.100.100:10000,84500422
55044792,2018/4/13,84500325,0,107,TXFD8,10966,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,639,0,225.0.100.100:10000,84500422
55044794,2018/4/13,84500334,0,109,TXFD8,10968,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,645,0,225.0.100.100:10000,84500422
55044800,2018/4/13,84500367,0,114,TXFD8,10966,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,648,0,225.0.100.100:10000,84500422
55044802,2018/4/13,84500386,0,116,TXFD8,10966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,649,0,225.0.100.100:10000,84500422
55044807,2018/4/13,84500408,0,120,TXFD8,10966,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,658,0,225.0.100.100:10000,84500422
55044809,2018/4/13,84500410,0,122,TXFD8,10968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,659,0,225.0.100.100:10000,84500422
55044812,2018/4/13,84500423,0,124,TXFD8,10966,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,669,0,225.0.100.100:10000,84500547
55047026,2018/4/13,84500423,0,2767,TXFD8,0,0,10966,10965,10964,10963,10962,10968,10969,10970,10971,10972,25,43,17,11,19,10,20,135,16,13,1,0,0,225.0.100.100:10000,84500423
55044814,2018/4/13,84500451,0,126,TXFD8,10966,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,677,0,225.0.100.100:10000,84500547
55044815,2018/4/13,84500455,0,127,TXFD8,10968,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,680,0,225.0.100.100:10000,84500547
55044816,2018/4/13,84500458,0,128,TXFD8,10968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,682,0,225.0.100.100:10000,84500547
55044828,2018/4/13,84500509,0,138,TXFD8,10968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,683,0,225.0.100.100:10000,84500547
55044829,2018/4/13,84500516,0,139,TXFD8,10968,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,694,0,225.0.100.100:10000,84500547
55044830,2018/4/13,84500516,0,139,TXFD8,10969,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,694,0,225.0.100.100:10000,84500547
55044838,2018/4/13,84500548,0,145,TXFD8,10967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,695,0,225.0.100.100:10000,84500672
55047072,2018/4/13,84500548,0,2808,TXFD8,0,0,10966,10965,10964,10963,10962,10969,10970,10971,10972,10973,8,47,17,11,19,15,135,16,13,4,1,0,0,225.0.100.100:10000,84500548
55044841,2018/4/13,84500558,0,148,TXFD8,10969,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,698,0,225.0.100.100:10000,84500672
